〇	〔{〇}aa〕
の	〔{の}aa〕
㐀	〔一一aa〕
㐁	〔一一aa〕〔一口ak〕
㐂	〔七七qq〕
㐄	〔丨一aa〕〔{㐄}fg〕
㐅	〔丿丶pd〕
㐆	〔丿𠃌pg〕
㐌	〔𠂉也ry〕
㐎	〔文乙wy〕
㐖	〔吉乚jg〕
㐜	〔求九qj〕
㐡	〔九耎jr〕
㐤	〔九真jv〕
㐧	〔丶丿dp〕
㐨	〔予予yy〕
㐩	〔井井jj〕
㐪	〔亠丶wd〕
㐫	〔亠凶wx〕
㐬	〔亠川wi〕
㐭	〔亠回wh〕
㐮	〔亠𧘇wd〕
㐯	〔亠香wx〕
㐰	〔亻口rk〕
㐱	〔人彡rp〕
㐲	〔亻大rd〕
㐳	〔亻兀rw〕
㐴	〔亻夕rx〕
㐵	〔亻于ry〕
㐶	〔亻巳rs〕
㐷	〔亻马rm〕
㐸	〔亻欠rq〕
㐹	〔亻气rq〕
㐺	〔亻人rr〕
㐻	〔亻内rn〕
㐼	〔亻升ru〕
㐽	〔亻风rf〕
㐾	〔亻元ry〕
㑀	〔亻太rt〕
㑁	〔亻出ri〕
㑂	〔亻丙rb〕
㑃	〔亻幼ry〕
㑄	〔亻母rm〕
㑅	〔亻一ra〕〔亻上ru〕
㑆	〔亻兄rx〕
㑇	〔亻刍ri〕
㑈	〔亻东rd〕
㑉	〔亻夙rs〕
㑊	〔亻亦ry〕
㑋	〔亻曲rq〕
㑌	〔亻匡rk〕
㑍	〔亻耒rl〕
㑎	〔亻山ru〕
㑏	〔亻守ru〕
㑐	〔亻尗ru〕
㑑	〔亻自rz〕
㑒	〔人丶rd〕
㑓	〔亻友ry〕
㑔	〔亻页ry〕
㑕	〔亻岁rs〕
㑖	〔亻仲rv〕
㑗	〔亻身ru〕
㑘	〔亻戒rj〕
㑙	〔.rv〕
㑚	〔亻那rn〕
㑛	〔亻束ru〕
㑜	〔亻折rv〕
㑝	〔亻弄rn〕
㑞	〔.rv〕
㑟	〔亻兵rb〕
㑠	〔亻坚rj〕
㑡	〔亻即rj〕
㑢	〔亻却rq〕
㑣	〔亻林rl〕
㑤	〔亻苗rm〕
㑥	〔亻易ry〕
㑦	〔亻戾rl〕
㑧	〔亻季rj〕
㑨	〔亻矢ru〕
㑩	〔亻罗rl〕
㑪	〔.rj〕
㑫	〔亻念rn〕
㑬	〔亻姑rg〕
㑭	〔.rc〕
㑮	〔亻軍rj〕
㑯	〔亻頁ry〕
㑰	〔.rh〕
㑱	〔亻柔rr〕
㑲	〔亻南rn〕
㑳	〔亻芻ri〕
㑴	〔亻又ry〕
㑵	〔亻疾rj〕
㑶	〔亻氣rq〕
㑷	〔亻能rn〕
㑸	〔亻可rk〕
㑹	〔人日ro〕
㑺	〔亻隽rj〕
㑻	〔亻密rm〕
㑼	〔亻略rl〕
㑽	〔亻堂rt〕
㑾	〔亻言ry〕
㑿	〔亻巢ri〕
㒀	〔.rd〕
㒁	〔亻圉ry〕
㒂	〔亻著rv〕
㒃	〔亻貳re〕
㒄	〔亻然rr〕
㒅	〔.ri〕
㒆	〔.rh〕
㒇	〔亻無rw〕
㒈	〔亻敢rg〕
㒉	〔亻棠rt〕
㒊	〔.rs〕
㒋	〔亻斯rs〕
㒌	〔亻煢rq〕
㒍	〔.rl〕
㒎	〔.rz〕
㒏	〔亻寒rh〕
㒐	〔亻筍rs〕
㒑	〔亻匯rh〕
㒒	〔亻業ry〕
㒓	〔亻達rd〕
㒔	〔亻蜀ru〕
㒕	〔亻雍ry〕
㒖	〔亻萬rw〕
㒗	〔.rt〕
㒘	〔.ru〕
㒙	〔亻綿rm〕
㒚	〔.ry〕
㒛	〔.rv〕
㒜	〔亻與ry〕
㒝	〔亻蔑rm〕
㒞	〔.rs〕
㒟	〔.rn〕
㒠	〔亻韭rj〕
㒡	〔亻繇ry〕
㒢	〔.rl〕
㒣	〔亻應ry〕
㒤	〔亻聶rn〕
㒥	〔亻豐rf〕
㒦	〔亻壘rl〕
㒧	〔亻離rl〕
㒨	〔.rs〕
㒩	〔亻蠡rl〕
㒪	〔人豕ru〕
㒫	〔厂兀iw〕〔.ey〕
㒬	〔元王yw〕
㒭	〔兄兄xx〕
㒮	〔元豕yu〕
㒯	〔光華gh〕
㒰	〔入工rg〕
㒱	〔入夕rx〕
㒲	〔入日ro〕
㒳	〔冂入kr〕
㒴	〔入出ri〕
㒵	〔八白bb〕
㒶	〔八白bb〕
㒷	〔冂八kb〕〔.by〕
㒸	〔丷豕bu〕
㒹	〔真真vv〕
㒺	〔.ka〕
㒻	〔.mj〕〔.oj〕
㒼	〔廿入cr〕
㒽	〔.mj〕〔.oj〕
㒾	〔.mu〕〔.ou〕
㒿	〔.ml〕〔.ol〕
㓀	〔冖卜bb〕
㓁	〔.br〕
㓂	〔冖女bn〕
㓃	〔冖託bt〕
㓄	〔.cy〕
㓅	〔冫丁dd〕
㓆	〔冫仑dl〕
㓇	〔冫夭dy〕
㓈	〔冫石du〕
㓉	〔冫舌du〕
㓊	〔冫同dt〕
㓋	〔冫共dg〕
㓌	〔冫全dq〕
㓍	〔冫充di〕
㓎	〔.dj〕
㓏	〔冫冏dj〕
㓐	〔.dl〕
㓑	〔冫幸dx〕
㓓	〔冫南dn〕
㓔	〔冫射du〕
㓕	〔冫火dh〕
㓖	〔冫畢db〕
㓗	〔冫絜dj〕
㓘	〔.jy〕
㓙	〔凵文kw〕
㓚	〔刂工dg〕
㓛	〔工刀gd〕
㓜	〔刀幺dy〕
㓝	〔刂井dj〕
㓞	〔刀丰df〕
㓟	〔刂皮dp〕
㓠	〔刂占dv〕
㓡	〔刂缶df〕
㓢	〔刂各dg〕
㓣	〔刂合dh〕
㓤	〔刂吉dj〕
㓥	〔当刂dd〕
㓦	〔刂百db〕
㓧	〔刂含dh〕
㓨	〔刂夾dj〕
㓩	〔刂角dj〕
㓪	〔丶刀dd〕〔良刀ld〕
㓫	〔刂开dk〕
㓬	〔刂券dq〕
㓭	〔刂曷dh〕
㓮	〔刂周dv〕〔周刂vd〕
㓯	〔刂甾dz〕
㓰	〔刂画dh〕
㓱	〔刂俞dy〕
㓲	〔刂扁db〕
㓳	〔刂是du〕
㓴	〔.dr〕
㓵	〔.de〕
㓶	〔刂契dq〕
㓷	〔.dg〕
㓸	〔.dd〕
㓹	〔.di〕
㓺	〔刂虔dq〕
㓻	〔刂罡dg〕
㓼	〔.dq〕
㓽	〔刂崇di〕
㓾	〔刂犀dx〕
㓿	〔刂水du〕
㔀	〔刂景dj〕
㔁	〔登刂dd〕
㔂	〔.dl〕
㔃	〔.dj〕
㔄	〔刂粟ds〕
㔅	〔刂肅ds〕
㔆	〔.dc〕
㔇	〔刂發df〕
㔈	〔刂菲df〕
㔉	〔刂属du〕
㔊	〔刂亶dd〕
㔋	〔刂監dj〕
㔌	〔刂聚dj〕
㔍	〔刂算ds〕
㔎	〔刀辛dx〕
㔏	〔刂磊dl〕
㔐	〔刂韭dj〕
㔑	〔刀薛dx〕
㔒	〔.ds〕
㔓	〔力千lq〕
㔕	〔力气lq〕〔.lr〕
㔗	〔力弗lf〕
㔘	〔力出li〕
㔙	〔力并lb〕
㔚	〔力舌lu〕
㔜	〔力孚lf〕
㔝	〔力兩ll〕
㔞	〔力乖lg〕
㔟	〔力丸lw〕
㔠	〔力曷lh〕
㔡	〔.lp〕
㔢	〔.lj〕
㔣	〔.ll〕
㔤	〔力審lu〕
㔥	〔力罷lb〕
㔦	〔力養ly〕
㔧	〔盧力ll〕
㔨	〔勹背gb〕
㔩	〔.gg〕
㔪	〔.gl〕
㔫	〔.ub〕
㔬	〔匕早bz〕
㔭	〔匕是bu〕
㔮	〔𦰩能hn〕
㔯	〔匚口kk〕〔.ky〕
㔰	〔匚外kw〕
㔱	〔匚臾ky〕
㔲	〔匚九kj〕
㔳	〔匚飢kj〕
㔴	〔匚異ky〕
㔵	〔.ks〕
㔶	〔匚贛kg〕
㔷	〔匚丙kb〕
㔸	〔匚虒ks〕
㔹	〔十力ul〕
㔺	〔.uu〕
㔻	〔不十bu〕
㔼	〔十推ut〕
㔽	〔卜回bh〕
㔾	〔.aa〕
㔿	〔一丩aj〕
㕀	〔.ey〕
㕁	〔㐅卩ie〕〔卩厶es〕
㕂	〔厂今ij〕
㕃	〔.ij〕
㕄	〔.ih〕
㕅	〔厂甲ij〕
㕆	〔厂古ig〕
㕇	〔厂立il〕
㕈	〔厂衣iy〕
㕉	〔厂合ih〕
㕊	〔厂甫if〕
㕋	〔厂金ij〕
㕌	〔.id〕
㕍	〔厂隹iv〕
㕎	〔.ig〕
㕏	〔厂斗id〕
㕐	〔厂舄ix〕
㕑	〔.iu〕
㕒	〔厂義iy〕
㕓	〔厂墨im〕
㕔	〔厂聽it〕
㕕	〔厶厶ss〕
㕖	〔.lm〕
㕗	〔厶羑sy〕
㕘	〔厶小sx〕
㕙	〔.tw〕
㕚	〔.id〕
㕛	〔又又yy〕
㕜	〔又中yv〕
㕝	〔古又gy〕
㕞	〔.yb〕
㕟	〔卜又by〕〔又艹yc〕
㕠	〔又准yv〕
㕡	〔.yj〕
㕢	〔卜又by〕〔又貝yb〕
㕣	〔口八kb〕
㕤	〔口九kj〕
㕥	〔口人kr〕
㕦	〔口大kd〕
㕧	〔口尸ku〕
㕨	〔口凡kf〕
㕩	〔口丰kf〕
㕪	〔.ka〕〔.ky〕
㕫	〔口方kf〕
㕬	〔口公kg〕
㕭	〔口夭ky〕
㕮	〔口父kf〕
㕯	〔口内kn〕
㕰	〔口毛km〕
㕱	〔口尤ky〕
㕲	〔口木km〕
㕳	〔口凶kx〕
㕴	〔口冗kr〕
㕵	〔口王kw〕
㕶	〔口五kw〕
㕷	〔口白kb〕
㕸	〔口立kl〕
㕹	〔.kb〕
㕺	〔.lk〕
㕻	〔丶否df〕
㕼	〔口匈kx〕
㕽	〔口以ky〕
㕿	〔禾口hk〕
㖀	〔口聿ky〕
㖁	〔口厶ks〕
㖂	〔口曳ky〕
㖃	〔口后kh〕
㖄	〔口州kv〕
㖅	〔口戌kx〕
㖆	〔口曲kq〕
㖇	〔口而ke〕
㖉	〔口企kq〕
㖊	〔口寻kx〕
㖏	〔.kn〕〔口土kt〕
㖐	〔.ly〕
㖑	〔口戒kj〕
㖒	〔口弟kd〕
㖓	〔口丰kf〕
㖔	〔口吞kt〕
㖕	〔口辛kx〕
㖖	〔口辛kx〕
㖗	〔口岑kc〕
㖘	〔口辰ki〕
㖞	〔口呙kg〕
㖟	〔口受ku〕
㖠	〔口奈kn〕
㖡	〔口夜ky〕
㖢	〔口此kc〕
㖣	〔.kp〕
㖤	〔口函kh〕
㖥	〔.kj〕
㖦	〔口東kd〕
㖧	〔口昏kh〕
㖨	〔口录kl〕
㖩	〔口取kq〕
㖪	〔口或kh〕
㖫	〔.kl〕
㖬	〔口又ky〕
㖭	〔口忝kt〕
㖮	〔口侖kl〕
㖴	〔口芴kw〕
㖵	〔口具kj〕
㖶	〔.ky〕
㖷	〔口是ku〕
㖸	〔口虐kn〕
㖹	〔口盆kp〕
㖺	〔口春ki〕
㖻	〔口柔kr〕
