𠀀	hē
𠀁	qī
𠀃	qiě jī
𠀅	hài
𠀇	qiě
𠀈	qiū
𠀉	qiū
𠀊	cāo
𠀌	qiū
𠀍	shì
𠀓	sī
𠀔	jué
𠀕	gèn
𠀚	bù
𠀛	yù
𠀝	kōng
𠀢	zī
𠀤	bìng
𠀦	xíng
𠀬	tiǎn
𠀮	jī
𠀱	mǒu
𠀷	jī
𠀸	yè
𠀹	jūn
𠀼	qián xià
𠀽	lù
𠀾	pēi
𠁉	chū
𠁗	shì hè
𠁞	pēi
𠁠	qiè
𠁡	bǔ
𠁥	guǎi
𠁦	zhōng
𠁧	zhōng
𠁩	zhōng
𠁭	qí
𠁮	shū
𠁰	guāi
𠁱	shì
𠁴	guī
𠁷	chǎn
𠁼	yī
𠁽	wán
𠁿	dān
𠂂	zhōng
𠂄	huān
𠂆	yì
𠂇	zuǒ
𠂈	jié
𠂑	zōu
𠂔	zǐ
𠂕	shǐ
𠂖	dì
𠂟	jīn
𠂢	pài
𠂣	yī
𠂤	duī
𠂥	cóng
𠂧	shèn
𠂳	zǒng
𠂷	xìng
𠂸	huáng
𠂹	chuí
𠂺	sī
𠂿	shǒu
𠃉	yà
𠃊	yǐn
𠃋	gōng
𠃌	gǔn
𠃏	jiū
𠃐	huì
𠃒	yě
𠃔	jiǔ
𠃕	zhōu
𠃖	jiū
𠃞	lǐ
𠃟	yě
𠃤	huāng
𠃥	jǔ
𠃨	jǐ
𠃫	shēn
𠃭	shǐ
𠃲	jié
𠃳	kuí
𠃺	jiù
𠃼	sī
𠄃	gān qián
𠄅	yè
𠄇	lào
𠄈	lín
𠄉	dòng
𠄋	gān qián
𠄌	jué zhuì
𠄍	jié
𠄎	nǎi
𠄏	diǎo
𠄐	mā
𠄑	jué
𠄒	chuí shā
𠄓	zhōu
𠄔	huàn
𠄕	nǎi
𠄖	líng
𠄗	zhōu
𠄙	zhēng
𠄚	tīng
𠄛	yù
𠄝	yù
𠄞	shàng
𠄟	xià
𠄠	shàng
𠄡	wǔ
𠄢	xuān
𠄣	gèn
𠄤	chún
𠄨	héng
𠄮	yà mǒ
𠄰	lǎo
𠄱	yí
𠄵	shèng
𠄹	jí
𠄿	wéi
𠅂	jié
𠅃	yì
𠅅	sòng
𠅈	nào
𠅌	yí
𠅓	yóu
𠅔	kè
𠅖	hēng
𠅗	diè
𠅚	qí
𠅞	chèng shèng
𠅟	chèng shèng
𠅠	xiǎng
𠅡	kè
𠅣	gǎng
𠅤	xí
𠅩	shú
𠅪	guō
𠅫	shèng
𠅬	bāo
𠅱	xiè
𠅹	zhàng
𠆁	luǒ
𠆂	shuāi
𠆌	yōng
𠆐	xù
𠆙	diè
𠆛	dān
𠆝	xiāng
𠆟	wěi
𠆣	guǎ zhuǎ
𠆤	dīng
𠆦	zhà
𠆧	rén
𠆩	fàn
𠆭	yīn
𠆮	mò
𠆱	xī
𠆲	yǎn
𠆵	ní
𠆶	dàn
𠇂	gè gě
𠇋	dǎn
𠇌	hún
𠇏	tāo
𠇒	gōng
𠇔	tuō chà
𠇗	kuā
𠇘	chù
𠇮	mìng
𠇯	qù
𠇱	mò
𠇳	shī
𠇵	gǎn
𠇷	shēng
𠇸	zuǒ
𠇺	xiá
𠇼	hǔ
𠈅	shōu
𠈊	niě
𠈘	kuí
𠈤	yùn
𠈥	guǎ
𠈬	xiāo
𠈭	láo
𠈰	dàn
𠈱	suō
𠈵	mǎng
𠈶	yí
𠈸	tè
𠈺	bì
𠉢	xǐ
𠉣	hūn hùn
𠉤	dá
𠉧	jù
𠉩	dú
𠉬	ǎn yǎn
𠊉	mèi
𠊌	rán
𠊎	ái
𠊏	yù xián
𠊒	jiàn
𠊔	qì
𠊣	zhòu
𠊤	zhì
𠊥	zhǒng
𠊦	nǎo
𠊧	bìng
𠊩	zhuàn
𠊪	shù
𠊫	xùn qióng
𠊬	jué
𠊭	qiǎn
𠊰	guǎ
𠊱	hòu
𠊲	tū
𠊵	bēng
𠊶	yìng
𠊷	zhì
𠊾	kuí
𠋖	liàn
𠋗	yā
𠋜	guò
𠋝	miǎo
𠋞	shé
𠋟	yǔ
𠋡	sì
𠋢	sǒu zhòu
𠋣	yǐ
𠋤	zhì
𠋧	qiē
𠋩	fù
𠋬	jú
𠋭	bèi
𠋯	bì
𠋲	suǒ
𠋵	qiǎn
𠋶	mǐng
𠋷	chǎn
𠋺	sāo
𠋻	jī
𠌕	gòng
𠌖	qióng
𠌚	ròng
𠌞	sǒu
𠌟	sǒu
𠌠	yáo
𠌥	wū
𠌪	chōu tāo
𠌭	shuài
𠌮	zhē
𠌯	lì lí
𠌰	gài
𠌱	suī
𠌲	zhān
𠌴	zhuàng
𠌶	huā
𠌽	fù
𠍃	jī
𠍄	dōu
𠍐	hú lěng
𠍗	huì
𠍙	bǎo
𠍚	jiǎn
𠍛	yǎn
𠍜	zhì
𠍦	xián
𠍨	měi
𠍩	yào
𠍪	dī
𠍫	yí
𠍯	bié
𠍲	qú
𠍳	yì
𠍵	yàng
𠍹	zhá
𠍽	shà
𠎒	mèn
𠎙	lái
𠎝	qiān
𠎮	jué
𠎰	qī
𠎳	yú
𠎶	zǎi
𠎷	sà
𠎸	sè
𠎻	dùn
𠎿	jiě
𠏀	kē
𠏃	yuē
𠏇	jiǎn
𠏈	yáo
𠏓	xiān
𠏕	xiào
𠏖	qiāo
𠏚	yù
𠏛	qú
𠏡	xiān líng
𠏢	luò
𠏤	guǎng
𠏧	chēng
𠏨	chuǎng
𠏩	yí
𠏫	zhěng
𠏭	zòng
𠏮	duì
𠏰	zhǎi
𠏿	fěi
𠐀	yí
𠐁	méng
𠐈	biān pián
𠐉	jié
𠐊	shù
𠐋	liáo
𠐌	bǐ bà
𠐍	sú
𠐑	dì
𠐡	bèi
𠐢	wèn
𠐧	méng
𠐩	chǎn
𠐱	gàn
𠐲	bèi
𠐵	dǎo
𠐺	pín
𠐻	jiǎn
𠐼	lìn
𠐽	guì guī
𠐾	qī
𠐿	hōng
𠑃	jí
𠑄	xiè
𠑅	zhēng
𠑆	chǎn
𠑐	yáo
𠑑	chǎn
𠑘	diān
𠑙	chòng
𠑚	néi
𠑛	néi
𠑞	zhài
𠑟	biān pián
𠑡	chǎn
𠑪	xiāo
𠑯	cù
𠑰	xīn
𠑱	jǐng
𠑲	qiān
𠑴	qīng
𠑶	wú
𠑷	cháng zhǎng
𠑹	gǔ
𠑺	tiān
𠑻	cháng zhǎng
𠑽	chōng
𠑾	sǐ
𠒃	sì
𠒄	wù
𠒅	sì
𠒆	ér
𠒌	qiāng
𠒍	yú
𠒜	yuǎn
𠒝	bǐng
𠒢	wán
𠒧	bó
𠒨	liáng liàng
𠒰	niǎo ní
𠒱	pì
𠒵	liàn
𠒸	rǎo
𠒾	fàn
𠒿	dí
𠓆	jīng
𠓊	huī dān
𠓋	yì
𠓌	xián
𠓖	lán
𠓗	fù
𠓙	xiòng
𠓛	jí
𠓜	liǎng
𠓝	tāo
𠓞	jí
𠓟	fá
𠓡	shǐ
