〇	ly;yq
ㄓ	vi;vi
ㄔ	ii;ii
ㄕ	ui;ui
ㄖ	ri;ri
ㄗ	zi;zi
ㄘ	ci;ci
ㄙ	si;si
ㄚ	aa;aa
ㄛ	oo;oo
ㄜ	ee;ee
ㄝ	eh;ye
ㄞ	ai;ai
ㄟ	ei;ei
ㄠ	ao;ao
ㄡ	ou;ou
ㄢ	an;an
ㄣ	en;en
ㄤ	ah;ah
ㄥ	eg;av
ㄦ	er;er
ㄧ	yi;yi
ㄨ	wu;ia
ㄩ	yu;yv
㐀	qq;zz
㐁	tm;zz
㐄	kw;zz
㐅	wu;zz
㐆	yn;zz
㐌	ta;zz
㐖	ye;zz
㐜	ib;zz
㐡	no;zz
㐡	ru;zz
㐤	dj;zz
㐤	qq;zz
㐨	xu;zz
㐩	xy;zz
㐫	xs;zz
㐬	lq;zz
㐭	ln;zz
㐮	xd;zz
㐯	ys;zz
㐰	xn;zz
㐱	vf;zz
㐲	dl;zz
㐳	wu;zz
㐴	pj;zz
㐷	ma;zz
㐸	ci;zz
㐸	qm;zz
㐹	qi;zz
㐹	yi;zz
㐺	yn;zz
㐺	vs;zz
㐻	nz;zz
㐼	ig;zz
㐽	fg;zz
㑁	vo;zz
㑂	fh;zz
㑃	ao;zz
㑄	wu;zz
㑅	zo;zz
㑇	vb;zz
㑈	ds;zz
㑉	su;zz
㑊	yi;zz
㑋	qs;zz
㑌	kd;zz
㑍	lz;zz
㑎	nk;zz
㑏	vu;zz
㑐	uu;zz
㑑	za;zz
㑑	zj;zz
㑔	xu;zz
㑗	uf;zz
㑘	jx;zz
㑙	dx;zz
㑚	no;zz
㑛	su;zz
㑜	ii;zz
㑜	yi;zz
㑝	ls;zz
㑞	yy;zz
㑟	bg;zz
㑣	lj;zz
㑤	mc;zz
㑥	yi;zz
㑦	li;zz
㑧	ji;zz
㑨	yu;zz
㑩	lo;zz
㑪	il;zz
㑮	hp;zz
㑯	xu;zz
㑰	hv;zz
㑱	rk;zz
㑳	vb;zz
㑵	hj;zz
㑶	xi;zz
㑷	tl;zz
㑸	yk;zz
㑹	hv;zz
㑺	jp;zz
㑺	zp;zz
㑻	ma;zz
㑼	lt;zz
㑽	th;zz
㑾	yk;zz
㑿	vk;zz
㒀	va;zz
㒀	vl;zz
㒁	yu;zz
㒂	vo;zz
㒃	er;zz
㒄	rj;zz
㒅	qi;zz
㒆	ii;zz
㒇	wu;zz
㒈	hj;zz
㒉	th;zz
㒊	se;zz
㒌	qs;zz
㒍	lz;zz
㒎	sa;zz
㒑	hv;zz
㒑	kv;zz
㒒	pu;zz
㒓	ta;zz
㒔	du;zz
㒔	uu;zz
㒔	tu;zz
㒕	yh;zz
㒖	ou;zz
㒗	tl;zz
㒙	mm;zz
㒚	wf;zz
㒚	yn;zz
㒛	dc;zz
㒜	yu;zz
㒝	mx;zz
㒝	wa;zz
㒞	jp;zz
㒟	nc;zz
㒠	xx;zz
㒡	yb;zz
㒤	ie;zz
㒥	fg;zz
㒦	lz;zz
㒧	li;zz
㒩	lo;zz
㒫	ji;zz
㒯	ye;zz
㒰	qr;zz
㒲	cl;zz
㒳	ld;zz
㒴	gu;zz
㒵	mk;zz
㒷	gw;zz
㒸	sv;zz
㒻	mk;zz
㒼	mj;zz
㒽	qr;zz
㒾	ui;zz
㒿	li;zz
㓁	wh;zz
㓂	kb;zz
㓃	du;zz
㓄	vf;zz
㓅	ty;zz
㓈	by;zz
㓉	ho;zz
㓊	ds;zz
㓋	gs;zz
㓌	ig;zz
㓎	qn;zz
㓏	js;zz
㓐	lu;zz
㓑	xy;zz
㓓	nj;zz
㓔	xx;zz
㓖	bi;zz
㓗	jx;zz
㓘	su;zz
㓚	gs;zz
㓜	yb;zz
㓝	xy;zz
㓞	qw;zz
㓟	pi;zz
㓠	dm;zz
㓡	fu;zz
㓡	gw;zz
㓢	lo;zz
㓣	ge;zz
㓣	qw;zz
㓤	qw;zz
㓥	th;zz
㓦	bl;zz
㓧	gj;zz
㓨	ci;zz
㓩	jx;zz
㓩	xr;zz
㓪	lh;zz
㓭	ue;zz
㓯	li;zz
㓰	hw;zz
㓱	uu;zz
